Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-11-17 16:43 UTC,N/A,false,N/A,
JavaScript: Classes,"The release of ECMAScript 2015 brought class syntax to JavaScript, providing developers used to class inheritance with some familiar tools. If you're new to the language—or just unsure how classes work in ECMAScript 6 (ES6)—then this course is for you. Join instructor Emmanuel Henri as he explains how classes work in ES6. He starts with the foundations of classes and how they interact with other JavaScript features. He then goes over constructors, mixins, and extends, explaining how they work and sharing code examples.",Course,2020-04-15 22:03 UTC,N/A,false,N/A,
Excel: Avoiding Common Mistakes (Office 365/Excel 2019),"If you work in Excel, you know that even a small error can have big consequences, throwing off important calculations or transmitting incorrect information to your team. In this concise course, Excel expert Dennis Taylor provides quick and easy tips to help you avoid common mistakes. Dennis begins with the basics—how to display data so that errors can be easily spotted, enter data correctly the first time, and apply shortcuts for frequent entries. Dennis provides easy ways to protect worksheets and validate your data—techniques that are particularly helpful when multiple team members are contributing to the same spreadsheet. He also shows how to correctly use row and column references and avoid mistakes in formulas.",Course,2020-10-05 04:05 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:118955,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:118955,Course,2019-02-08 22:39 UTC,N/A,false,N/A,
CompTIA Server+ (SK0-004) Cert Prep: 7 Troubleshooting,"Earning the CompTIA Server+ certification can be a boon to your career by signaling to potential employers that you have the skills needed to manage a variety of systems, including web servers, virtual servers, and more. This course helps to prepare you for the troubleshooting portion of the CompTIA Server+ (SK0-004) certification exam. Instructor Ed Liberman demonstrates how to troubleshoot both hardware and software. Plus, he covers troubleshooting connectivity and storage, including how to diagnose network problems and security issues.<br><br>We are a CompTIA Partner. As such, we are able to offer CompTIA exam vouchers at a 10% discount. For more information on how to obtain this discount, please download <a href=""http://files.lynda.com/files/course_description_images/CompTIA_Exam_voucher_instructions.pdf"" target=""_blank"">these PDF instructions</a>.",Course,2020-11-29 06:15 UTC,N/A,false,N/A,
Excel Tips Weekly,"This tips-based course will show Excel users productivity-boosting tricks, cool hidden features, need-to-know functions, and advanced content on subjects such as using PivotTables for data analysis. Tune in every Tuesday for a new tip from expert Dennis Taylor. Each tutorial is a short, self-contained lesson guaranteed to give you new insights into Excel.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2020-03-30 17:30 UTC,N/A,false,N/A,
Lighting with Flash: Capturing a Dancer in Motion,"In this installment of the <em>Lighting with Flash</em> series, photographer and Strobist.com publisher David Hobby demonstrates using strobes to freeze action while capturing the strength and grace of a dancer in motion. After working through the lighting challenges of a dance studio, David sets up a white, seamless background and shoots some test shots, adjusting the flash units to create a white ""blow-away"" background that will enable the photo to be easily composited. Next, he photographs the dancer, working with her to capture a relaxed expression as she leaps and strikes various poses. After the action shots, David lights and shoots a portrait.",Course,2020-05-14 21:10 UTC,N/A,false,N/A,
HTML Essential Training,"Hypertext Markup Language (HTML) is the foundation of website and web application development. It allows you to ensure that your content is understood by both segments of your audience: the people who watch, read, or listen to your content, and the computers that display it. In this course, learn how to craft excellent HTML with the pieces that HTML itself has to offer. Instructor Jen Simmons highlights all of the fundamental concepts you need to use HTML thoughtfully. She focuses on semantic markup: tagging content as what it is, and not just for formatting, convention, or convenience. This has far-reaching impact for those who consume the web differently; it ensures that when a screen reader or a system (like a search engine) consumes a page, it knows exactly what it contains and how to categorize that information.",Course,2020-10-26 14:35 UTC,N/A,false,N/A,
Web Programming Foundations,"To be an effective web programmer, you have to understand what happens when you enter a URL or click on a link. Under every webpage lies the markup—JavaScript, HTML, and CSS—and the hierarchy that controls display—the Document Object Model (DOM). Then there is the server that hosts the files, the browser that renders them, the metadata, and the mobile experience to consider. Explore what happens below the surface, and learn how to write better code. This course provides a deep dive into the world wide web, and the underlying structures you need to understand to build robust applications and websites that are efficient and easy to maintain. Learn how HTML documents provide the foundation for CSS and JavaScript, and see how to layer presentation and interactions on top. Learn how different code editors and browsers interact with web content, enabling editing, programming, and display. Discover why accessibility is so important to keeping the web open and available to all users, and what workflow works best for web programming. Instructor Morten Rand-Hendriksen keeps the lessons fun and fast-paced, so it's easy for almost anyone—web programmers, web designers, and even web publishers—to follow along.",Course,2020-05-03 19:03 UTC,N/A,false,N/A,
Microsoft SQL Server 2016: Query Data,"Many of the world's most powerful programs and websites use SQL to manage the incredible amount of data they work with on a daily basis. As a result, understanding how to query data from platforms like Microsoft SQL Server 2016 is a highly valuable skill. In this course, Gerry O'Brien reviews the history of SQL and relational theory to help you understand exactly where this data manipulation language and the Microsoft seminal database program got their starts. Next, he shows how to query one or many different tables using SELECT statements, as well as how to filter, group, and sort the results. Then, he demonstrates how to work with special data types like dates, times, and characters. Gerry also covers advanced topics like subqueries, programming with Transact-SQL, and improving query performance.",Course,2020-03-18 00:18 UTC,N/A,false,N/A,
