Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Presenting Technical Information with Stories,"Technical information can be dry and hard to understand. But that doesn’t mean your presentation has to be. Storytelling can transform technical talks into dynamic and energizing presentations. In this course, you can learn the top reasons why audiences tune out and discover techniques to make your complex material more memorable and engaging. Instructors Poornima Vijayashanker and Karen Catlin share how to improve your public speaking skills and use storytelling to increase engagement and retention. They show how to identify a story to use, build credibility with your story, and test it to make sure it will engage your audience. The course is filled with real-world examples that show how these lessons impact actual audiences.",Course,2020-11-06 16:34 UTC,N/A,false,N/A,
Excel: Introduction to Macros and VBA,"If you have tasks in Excel that you do repeatedly, you can record a macro to automate those tasks. Many people assume macros are complicated and reserved only for Excel power users or professionals with computer programming experience. Not so! In this short course, Excel guru and Microsoft content developer Chris ""Smitty"" Smith explains how to work with the Visual Basic for Applications (VBA) programming language to set up a basic macro in Excel to record your mouse clicks and keystrokes. Learn how to save time in Excel with macros.",Course,2020-06-07 02:49 UTC,N/A,false,N/A,
Python: Working with Predictive Analytics,"Data can tell many stories: where it came from <i>and</i> where it’s going. Predictive analytics gives programmers a tool to tell stories about the future: to extract usable information and make accurate predictions. These predictions, in turn, allow business to make more informed, impactful decisions. Join Isil Berkun, data scientist, to explore predictive analytics with Python. Discover how to prepare data—fill in missing values, perform feature scaling, and more—and use prebuilt Python libraries to make and evaluate prediction models. She describes what models to use when, and explains the concepts in such a way that you can immediately apply them to your own work. By the end of the course, you’ll be able to leverage Python libraries like pandas and NumPy and choose the right prediction models for your projects.",Course,2020-04-03 20:16 UTC,N/A,false,N/A,
Excel for Mac 2016: Pivot Tables in Depth,"Learn how to summarize, sort, and analyze your data in using one of the most overlooked features in Microsoft Excel for Mac 2016: PivotTables. Author Curt Frye shows you how to gain more valuable insights from your organization's data—demystifying the complexity of PivotTables while demonstrating their power. His tutorials show how to build PivotTables from Excel workbooks or external data sources, add calculated fields, filter results, and format your layout to make it more readable. Plus, learn how to use conditional formatting to intelligently highlight cells, apply color scales, create data bars, and share your PivotTable results in printouts or via PDF.",Course,2020-03-06 00:31 UTC,N/A,false,N/A,
Faster Python Code,"By optimizing your Python code, you can ensure that your code uses fewer resources and runs faster than it did previously. In this advanced course, explore tips and techniques that can help you optimize your code to make it more efficient. Instructor Miki Tebeka covers general tools of the trade, including how to leverage the tools Python provides for measuring time, and how to use line_profiler to get line-by-line profiling information. Miki also shares how to pick the right data structures, how approximation algorithms can speed up your code, and how to use NumPy for fast numeric computation. He wraps up the course with a discussion of how to integrate performance in your process.",Course,2020-05-08 21:47 UTC,N/A,false,N/A,
Processing: Interactive Data Visualization,"Start communicating ideas and diagramming data in a more interactive way. In this course, author Barton Poulson shows how to read, map, and illustrate data with Processing, an open-source drawing and development environment. On top of a solid introduction to Processing itself, this course investigates methods for obtaining and preparing data, designing for data visualization, and building an interactive experience out of a design. When your visualization is complete, explore the options for sharing your work, whether uploading it to specialized websites, embedding the visualizations in your own web pages, or even creating a desktop or Android app for your work.",Course,2020-03-27 16:22 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-11-20 04:01 UTC,N/A,false,N/A,
Twelve Myths About Data Science,"In this course, Ben Sullins debunks 12 common misconceptions within the field of data science. Busy engineers, data miners, programmers, and other systems specialists who want to bolster their skills can benefit from Ben's succinct, practical insights. Separate data science fact from fiction, and learn what big data actually is, and why—contrary to what media coverage often suggests—it's not a singular thing. Ben also explains why big data can't instantly yield great insights, how to make analytics clearer, when to replace your relational databases, and more.",Course,2020-04-25 23:02 UTC,N/A,false,N/A,
Python: Design Patterns,"Design patterns encourage programming efficiency and code reuse. This course is a look at traditional design patterns as applied to Python. Jungwoo Ryoo covers 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that will keep your solutions consistent, complete, and correct.",Course,2020-03-18 16:59 UTC,N/A,false,N/A,
Learning Java (2018),"Java is one of the top five programming languages, and is used for websites, embedded controllers, and Android app development. This is an introduction to get you started programming with Java 9-and the newly introduced JShell. Instructor Kathryn Hodge covers all the basics: data types, strings, arrays, loops, and functions. She helps you control the flow and logic of your code, and debug your project to make sure it runs perfectly. Then go a bit beyond the basics and learn advanced techniques such as encapsulation, inheritance, functional programming, and lambdas. Kathryn introduces challenges along the way to practice your new skills. This three-hour course is perfect for developers who need to get up to speed with Java fast, as well as for beginning programmers who want their first taste of this popular language.",Course,2020-05-08 21:44 UTC,N/A,false,N/A,
